Date,no,Snow_type,Trigger_type,Avalanche_size_m2,Avalanche_danger_level,Num_wet,Num_dry,Num_mixed,Num_unknown,Num_Natural,Num_Human,Num_Explosive,Num_Unknown_t
1999-03-31,145,wet,NATURAL,5540.0,2.0,1,0,0,0,1,0,0,0
1999-04-01,146,wet,NATURAL,11174.0,2.0,1,0,0,0,1,0,0,0
1999-04-01,147,wet,NATURAL,206.0,2.0,1,0,0,0,1,0,0,0
1999-04-04,148,wet,NATURAL,16722.0,1.0,1,0,0,0,1,0,0,0
1999-04-04,149,wet,NATURAL,12629.0,1.0,1,0,0,0,1,0,0,0
1999-04-05,150,unknown,HUMAN,624.0,3.0,0,0,0,1,0,1,0,0
1999-04-05,151,unknown,HUMAN,1790.0,3.0,0,0,0,1,0,1,0,0
1999-04-05,152,unknown,HUMAN,1636.0,3.0,0,0,0,1,0,1,0,0
1999-04-05,153,unknown,HUMAN,1746.0,3.0,0,0,0,1,0,1,0,0
1999-04-05,154,unknown,HUMAN,631.0,3.0,0,0,0,1,0,1,0,0
1999-04-05,155,unknown,HUMAN,1966.0,3.0,0,0,0,1,0,1,0,0
1999-04-05,156,unknown,HUMAN,2769.0,3.0,0,0,0,1,0,1,0,0
1999-04-05,157,unknown,HUMAN,4647.0,3.0,0,0,0,1,0,1,0,0
1999-04-05,158,unknown,HUMAN,660.0,3.0,0,0,0,1,0,1,0,0
1999-04-09,159,wet,NATURAL,22275.0,2.0,1,0,0,0,1,0,0,0
1999-04-17,160,unknown,HUMAN,817.0,3.0,0,0,0,1,0,1,0,0
1999-04-21,161,wet,NATURAL,3784.0,2.0,1,0,0,0,1,0,0,0
1999-04-25,162,wet,NATURAL,7631.0,2.0,1,0,0,0,1,0,0,0
1999-04-28,163,wet,NATURAL,610.0,1.0,1,0,0,0,1,0,0,0
1999-11-26,166,dry,HUMAN,3475.0,2.0,0,1,0,0,0,1,0,0
1999-12-16,167,unknown,HUMAN,1589.0,3.0,0,0,0,1,0,1,0,0
1999-12-16,168,unknown,HUMAN,806.0,3.0,0,0,0,1,0,1,0,0
1999-12-17,169,unknown,NATURAL,5982.0,3.0,0,0,0,1,1,0,0,0
1999-12-17,170,dry,NATURAL,3094.0,3.0,0,1,0,0,1,0,0,0
1999-12-17,171,unknown,NATURAL,12016.0,3.0,0,0,0,1,1,0,0,0
1999-12-19,172,unknown,NATURAL,5747.0,3.0,0,0,0,1,1,0,0,0
1999-12-19,173,unknown,NATURAL,4483.0,3.0,0,0,0,1,1,0,0,0
1999-12-21,174,dry,NATURAL,3606.0,2.0,0,1,0,0,1,0,0,0
1999-12-27,175,dry,HUMAN,3546.0,4.0,0,1,0,0,0,1,0,0
1999-12-27,176,dry,NATURAL,1610.0,4.0,0,1,0,0,1,0,0,0
1999-12-27,177,dry,HUMAN,4605.0,4.0,0,1,0,0,0,1,0,0
1999-12-27,178,dry,EXPLOSIVE,27184.0,4.0,0,1,0,0,0,0,1,0
1999-12-27,179,dry,NATURAL,9047.0,4.0,0,1,0,0,1,0,0,0
1999-12-27,180,dry,HUMAN,11439.0,4.0,0,1,0,0,0,1,0,0
1999-12-27,181,dry,NATURAL,5769.0,4.0,0,1,0,0,1,0,0,0
1999-12-28,182,dry,NATURAL,1250.0,3.0,0,1,0,0,1,0,0,0
1999-12-28,183,unknown,NATURAL,2577.0,3.0,0,0,0,1,1,0,0,0
1999-12-29,184,dry,HUMAN,6055.0,3.0,0,1,0,0,0,1,0,0
1999-12-30,185,dry,HUMAN,5118.0,3.0,0,1,0,0,0,1,0,0
1999-12-30,186,unknown,NATURAL,7701.0,3.0,0,0,0,1,1,0,0,0
1999-12-30,187,unknown,NATURAL,2951.0,3.0,0,0,0,1,1,0,0,0
1999-12-31,188,dry,HUMAN,90418.0,3.0,0,1,0,0,0,1,0,0
2000-01-01,189,dry,HUMAN,4243.0,3.0,0,1,0,0,0,1,0,0
2000-01-02,190,dry,HUMAN,2301.0,3.0,0,1,0,0,0,1,0,0
2000-01-02,191,dry,HUMAN,739.0,3.0,0,1,0,0,0,1,0,0
2000-01-03,192,dry,HUMAN,9597.0,2.0,0,1,0,0,0,1,0,0
2000-01-05,193,unknown,NATURAL,44084.0,2.0,0,0,0,1,1,0,0,0
2000-01-05,194,unknown,NATURAL,5491.0,2.0,0,0,0,1,1,0,0,0
2000-01-06,195,unknown,NATURAL,6507.0,2.0,0,0,0,1,1,0,0,0
2000-01-19,196,dry,NATURAL,2572.0,3.0,0,1,0,0,1,0,0,0
2000-01-19,197,dry,NATURAL,5240.0,3.0,0,1,0,0,1,0,0,0
2000-01-19,198,dry,NATURAL,1940.0,3.0,0,1,0,0,1,0,0,0
2000-01-19,199,dry,NATURAL,2206.0,3.0,0,1,0,0,1,0,0,0
2000-01-19,200,dry,NATURAL,1186.0,3.0,0,1,0,0,1,0,0,0
